,avg_rank
Random Forest (All),4.92
Integrated-SelectFromModel (RF selector) + LR,4.92
Integrated-SelectFromModel (RF selector) + RF,4.92
Integrated-SelectFromModel (L1-LR selector) + LR,4.92
Integrated-RFECV (L1-LR) + LR,6.5
Logistic Regression (All),6.75
Decision Tree (All),8.15
Integrated-RFECV (L1-LR) + KNN,8.31
Integrated-SelectFromModel (L1-LR selector) + SVM,8.37
SVM (All),8.37
Integrated-SelectFromModel (RF selector) + KNN,8.53
Integrated-SelectFromModel (L1-LR selector) + KNN,8.53
K-Neighbors (All),8.53
Random Forest (Chi-square - inCV),14.59
SVM (Chi-square - inCV),14.59
K-Neighbors (Chi-square - inCV),16.7
Integrated-RFECV (L1-LR) + Naive Bayes,20.4
Random Forest (KS - inCV),21.63
Random Forest (Wilcoxon - inCV),21.63
Random Forest (Kruskal - inCV),21.63
Random Forest (MW - inCV),21.63
SVM (MW - inCV),26.76
SVM (Kruskal - inCV),26.76
SVM (Wilcoxon - inCV),26.76
SVM (KS - inCV),26.76
Decision Tree (KS - inCV),27.48
Decision Tree (Kruskal - inCV),27.48
Decision Tree (Chi-square - inCV),27.48
Decision Tree (MW - inCV),27.48
Decision Tree (Wilcoxon - inCV),27.48
K-Neighbors (Wilcoxon - inCV),30.82
K-Neighbors (MW - inCV),30.82
K-Neighbors (Kruskal - inCV),31.17
Logistic Regression (Kruskal - inCV),32.07
Logistic Regression (Wilcoxon - inCV),32.07
Logistic Regression (MW - inCV),32.07
Logistic Regression (KS - inCV),32.07
K-Neighbors (KS - inCV),32.83
Logistic Regression (Chi-square - inCV),37.96
Naive Bayes (All),40.21
Integrated-SelectFromModel (L1-LR selector) + Naive Bayes,40.21
Naive Bayes (Chi-square - inCV),41.9
Naive Bayes (MW - inCV),44.46
Naive Bayes (KS - inCV),44.46
Naive Bayes (Kruskal - inCV),44.46
Naive Bayes (Wilcoxon - inCV),44.46
